Data;Wojewodztwo;Liczba wykonanych testów
26.03.2020;Pomorskie;166
26.03.2020;Śląskie;307
26.03.2020;Świętokrzyskie;76
26.03.2020;Warmińsko-Mazurskie;299
26.03.2020;Wielkopolskie;315
26.03.2020;Zachodniopomorskie;122
27.03.2020;Dolnośląskie;368
27.03.2020;Kujawsko-Pomorskie;19
27.03.2020;Lubelskie;320
27.03.2020;Lubuskie;176
27.03.2020;Łódzkie;428
27.03.2020;Małopolskie;158
27.03.2020;Mazowieckie;1060
27.03.2020;Opolskie;94
27.03.2020;Podkarpackie;148
27.03.2020;Podlaskie;142
27.03.2020;Pomorskie;162
27.03.2020;Śląskie;240
27.03.2020;Świętokrzyskie;246
27.03.2020;Warmińsko-Mazurskie;278
27.03.2020;Wielkopolskie;332
27.03.2020;Zachodniopomorskie;106
28.03.2020;Dolnośląskie;78
28.03.2020;Kujawsko-Pomorskie;36
28.03.2020;Lubelskie;353
28.03.2020;Lubuskie;0
28.03.2020;Łódzkie;558
28.03.2020;Małopolskie;172
28.03.2020;Mazowieckie;1445
28.03.2020;Opolskie;72
28.03.2020;Podkarpackie;132
28.03.2020;Podlaskie;107
28.03.2020;Pomorskie;161
28.03.2020;Śląskie;295
28.03.2020;Świętokrzyskie;202
28.03.2020;Warmińsko-Mazurskie;138
28.03.2020;Wielkopolskie;305
28.03.2020;Zachodniopomorskie;101
29.03.2020;Dolnośląskie;459
29.03.2020;Kujawsko-Pomorskie;0
29.03.2020;Lubelskie;215
29.03.2020;Lubuskie;165
29.03.2020;Łódzkie;280
29.03.2020;Małopolskie;104
29.03.2020;Mazowieckie;1384
29.03.2020;Opolskie;48
29.03.2020;Podkarpackie;72
29.03.2020;Podlaskie;101
29.03.2020;Pomorskie;183
29.03.2020;Śląskie;261
29.03.2020;Świętokrzyskie;209
29.03.2020;Warmińsko-Mazurskie;147
29.03.2020;Wielkopolskie;714
29.03.2020;Zachodniopomorskie;58
30.03.2020;Dolnośląskie;271
30.03.2020;Kujawsko-Pomorskie;23
30.03.2020;Lubelskie;235
30.03.2020;Lubuskie;97
30.03.2020;Łódzkie;395
30.03.2020;Małopolskie;99
30.03.2020;Mazowieckie;1225
30.03.2020;Opolskie;95
30.03.2020;Podkarpackie;190
30.03.2020;Podlaskie;139
30.03.2020;Pomorskie;169
30.03.2020;Śląskie;321
30.03.2020;Świętokrzyskie;209
30.03.2020;Warmińsko-Mazurskie;43
30.03.2020;Wielkopolskie;582
30.03.2020;Zachodniopomorskie;121
31.03.2020;Dolnośląskie;309
31.03.2020;Kujawsko-Pomorskie;0
31.03.2020;Lubelskie;357
31.03.2020;Lubuskie;62
31.03.2020;Łódzkie;354
31.03.2020;Małopolskie;38
31.03.2020;Mazowieckie;1859
31.03.2020;Opolskie;74
31.03.2020;Podkarpackie;151
31.03.2020;Podlaskie;142
31.03.2020;Pomorskie;156
31.03.2020;Śląskie;317
31.03.2020;Świętokrzyskie;250
31.03.2020;Warmińsko-Mazurskie;195
31.03.2020;Wielkopolskie;114
31.03.2020;Zachodniopomorskie;68
01.04.2020;Dolnośląskie;690
01.04.2020;Kujawsko-Pomorskie;45
01.04.2020;Lubelskie;258
01.04.2020;Lubuskie;104
01.04.2020;Łódzkie;502
01.04.2020;Małopolskie;77
01.04.2020;Mazowieckie;1619
01.04.2020;Opolskie;62
01.04.2020;Podkarpackie;194
01.04.2020;Podlaskie;110
01.04.2020;Pomorskie;158
01.04.2020;Śląskie;386
01.04.2020;Świętokrzyskie;231
01.04.2020;Warmińsko-Mazurskie;261
01.04.2020;Wielkopolskie;475
01.04.2020;Zachodniopomorskie;108
02.04.2020;Dolnośląskie;1174
02.04.2020;Kujawsko-Pomorskie;52
02.04.2020;Lubelskie;418
02.04.2020;Lubuskie;68
02.04.2020;Łódzkie;249
02.04.2020;Małopolskie;15
02.04.2020;Mazowieckie;2128
02.04.2020;Opolskie;96
02.04.2020;Podkarpackie;198
02.04.2020;Podlaskie;258
02.04.2020;Pomorskie;413
02.04.2020;Śląskie;476
02.04.2020;Świętokrzyskie;349
02.04.2020;Warmińsko-Mazurskie;384
02.04.2020;Wielkopolskie;171
02.04.2020;Zachodniopomorskie;115
03.04.2020;Dolnośląskie;375
03.04.2020;Kujawsko-Pomorskie;86
03.04.2020;Lubelskie;399
03.04.2020;Lubuskie;103
